,0,1,2,3,4,5,6
105,2767,Crypto Bank,https://www.crypto-bank.io/,N,crypto-bank//repositories/0,17,N
106,13,Nightfall AI,https://www.nightfall.ai,N,nightfallai/repositories/0,16,Y
107,831,Butter Works,http://butter.works,N,butterproject/repositories/0,16,N
108,1355,Synthesis AI,http://synthesis.ai/,N,Synthesis-AI-Dev//repositories/0,16,Y
109,1516,Everguard.ai,https://www.everguard.ai/,N,everguard-inc/repositories/0,16,N
110,1540,Knowt,https://knowt.io,N,Knowt/repositories/0,16,N
111,1770,Tarteel,https://tarteel.ai,N,Tarteel-io/repositories/0,16,Y
112,1019,The Routing Company,https://theroutingcompany.com/,N,theroutingcompany/repositories/0,15,Y
113,1332,Deepnote,https://www.deepnote.com/,N,deepnote/repositories/0,15,Y
114,1572,Riley,http://riley.ai,N,rileyai/repositories/0,15,Y
115,1772,Source Medium,https://www.sourcemedium.com,N,SourceMedium//repositories/0,15,N
116,1994,Merlin,https://www.merlin.tech,N,NVIDIA-Merlin/repositories/0,15,N
117,815,CollectiWise,https://www.collectiwise.com,N,CollectiWise/repositories/0,14,N
118,1035,Orbiit,https://orbiit.ai,N,Orbiit/repositories/0,14,N
119,1341,Bodo.ai,https://bodo.ai/,N,Bodo-inc/repositories/0,14,N
120,1465,Sosivio,https://sosiv.io/,N,Sosivio/repositories/0,14,N
121,1637,xaana.ai,https://xaana.ai,N,xaana//repositories/0,14,Y
122,2479,CoCoPIE,https://www.cocopie.ai/,N,CoCoPIE-Group//repositories/0,14,Y
123,141,Freedom Robotics,http://www.freedomrobotics.com,N,freedomrobotics/repositories/0,13,N
124,203,SetSail,https://www.setsail.co,N,setsailco/repositories/0,13,N
125,1074,CKM Analytix,https://www.ckmanalytix.com,N,ckmanalytix/repositories/0,13,N
126,1400,XL8,https://XL8.ai,N,xl8-ai/repositories/0,13,N
127,1586,Hank AI,https://hank.ai,N,hank-ai/repositories/0,13,Y
128,1893,Jewel ML,https://jewelml.com,N,jewelml/repositories/0,13,N
129,2688,Skan Technologies,http://www.skan.io/,N,skan-io/repositories/0,13,N
130,2700,CoParse,https://coparse.com/,N,coparse-inc/repositories/0,13,N
131,2828,Growth Engine,https://growthengineai.com/,N,GrowthEngineAI/repositories/0,13,Y
132,310,ImmunoMind,https://immunomind.io/,N,immunomind/repositories/0,12,Y
133,334,SOCO.AI,https://www.soco.ai,N,soco-ai/repositories/0,12,Y
134,714,S20.AI,https://www.s20.ai/,N,s20ai/repositories/0,12,N
135,1274,"Altola, Inc.",https://altola.co,N,altola/repositories/0,12,Y
136,1314,Tecton,https://tecton.ai/,N,tecton-ai/repositories/0,12,N
137,1426,Cornelis Networks,https://cornelisnetworks.com/,N,cornelisnetworks//repositories/0,12,Y
138,1830,FourthBrain,http://www.fourthbrain.ai,N,FourthBrain/repositories/0,12,Y
139,1963,Docuvision,http://www.docuvision.ai,N,docuvision/repositories/0,12,N
140,2611,Digital.ai,http://www.digital.ai/,N,digital-ai//repositories/0,12,N
141,2732,Digital.ai,https://digital.ai,N,digital-ai//repositories/0,12,Y
142,8,Mutiny,https://www.mutinyhq.com,N,MutinyHQ/repositories/0,11,N
143,33,Sirona Medical,https://www.sironamedical.com/,N,SironaMedical/repositories/0,11,N
144,35,Dyno Therapeutics,https://www.dynotx.com,N,dynotx/repositories/0,11,Y
145,222,CurieVision,https://curie.co,N,curie-data-factory/repositories/0,11,N
146,266,Jobot,https://jobot.com/,N,teamjobot//repositories/0,11,Y
147,1085,MindStand Technologies,http://MindStand.com,N,mindstand/repositories/0,11,N
148,1464,Hyperspec-ai,https://hyperspec.ai,N,hyperspec-ai/repositories/0,11,Y
149,2018,Intercept CX,http://intercept.cx,N,Intercept/repositories/0,11,N
150,2378,OthersideAI,https://www.othersideai.com,N,OthersideAI/repositories/0,11,N
151,2422,Union.ai,https://union.ai/,N,unionai/repositories/0,11,Y
152,2449,Known Medicine,https://www.knownmed.com/,N,knownmed//repositories/0,11,N
153,175,Singularity.AI,http://www.singularity.ai/,N,Singularity-AI/repositories/0,10,N
154,238,Pitch Inc.,https://pitch.studio,N,pitch-io/repositories/0,10,N
155,300,WayLit,https://www.waylit.com,N,WayLit//repositories/0,10,Y
156,546,Secomind,https://secomind.ai,N,secomind/repositories/0,10,N
157,1201,TrainingData.io,https://www.trainingdata.io,N,trainingdata//repositories/0,10,Y
158,1526,Ren,https://rensystems.com/,N,RenSystems//repositories/0,10,N
159,1562,Shiftlab,https://shiftlab.io/,N,Systems-ShiftLab/repositories/0,10,N
160,1985,Modelyst,http://modelyst.com,N,modelyst//repositories/0,10,Y
