128,Hank AI,https://hank.ai,N,hank-ai,13,Y
129,Jewel ML,https://jewelml.com,N,jewelml,13,N
130,Skan Technologies,http://www.skan.io/,N,skan-io,13,N
131,CoParse,https://coparse.com/,N,coparse-inc,13,N
132,Growth Engine,https://growthengineai.com/,N,GrowthEngineAI,13,Y
133,ImmunoMind,https://immunomind.io/,N,immunomind,12,Y
134,SOCO.AI,https://www.soco.ai,N,soco-ai,12,Y
135,S20.AI,https://www.s20.ai/,N,s20ai,12,N
136,"Altola, Inc.",https://altola.co,N,altola,12,Y
137,Tecton,https://tecton.ai/,N,tecton-ai,12,N
138,Cornelis Networks,https://cornelisnetworks.com/,N,cornelisnetworks,12,Y
139,FourthBrain,http://www.fourthbrain.ai,N,FourthBrain,12,Y
140,Docuvision,http://www.docuvision.ai,N,docuvision,12,N
141,Digital.ai,http://www.digital.ai/,N,digital-ai,12,N
142,Digital.ai,https://digital.ai,N,digital-ai,12,Y
143,Mutiny,https://www.mutinyhq.com,N,MutinyHQ,11,N
144,Sirona Medical,https://www.sironamedical.com/,N,SironaMedical,11,N
145,Dyno Therapeutics,https://www.dynotx.com,N,dynotx,11,Y
146,CurieVision,https://curie.co,N,curie-data-factory,11,N
147,Jobot,https://jobot.com/,N,teamjobot,11,Y
148,MindStand Technologies,http://MindStand.com,N,mindstand,11,N
149,Hyperspec-ai,https://hyperspec.ai,N,hyperspec-ai,11,Y
150,Intercept CX,http://intercept.cx,N,Intercept,11,N
151,OthersideAI,https://www.othersideai.com,N,OthersideAI,11,N
152,Union.ai,https://union.ai/,N,unionai,11,Y
153,Known Medicine,https://www.knownmed.com/,N,knownmed,11,N
154,Singularity.AI,http://www.singularity.ai/,N,Singularity-AI,10,N
155,Pitch Inc.,https://pitch.studio,N,pitch-io,10,N
156,WayLit,https://www.waylit.com,N,WayLit,10,Y
157,Secomind,https://secomind.ai,N,secomind,10,N
158,TrainingData.io,https://www.trainingdata.io,N,trainingdata,10,Y
159,Ren,https://rensystems.com/,N,RenSystems,10,N
160,Shiftlab,https://shiftlab.io/,N,Systems-ShiftLab,10,N
161,Modelyst,http://modelyst.com,N,modelyst,10,Y
162,XTRA,https://xtravision.ai/,N,xtravision-ai,10,Y
163,MajorBoost,https://www.majorboost.com/,N,majorboost,10,Y
164,Alan AI,https://alan.app,N,alan-ai,9,N
165,FounderNest,https://www.foundernest.com,N,foundernest,9,N
166,TopHap,https://www.tophap.com/,N,tophap,9,Y
167,Big Room,https://www.bigroom.tv/,N,BigRoom,9,N
168,Explain.Care Inc.,https://www.explain.care,N,explainDev,9,N
169,Eleos Health,https://www.eleos.health/,N,eleos-health,9,N
170,Graviti,https://www.graviti.com/,N,Graviti-AI,9,Y
171,PureSkill.gg,http://pureskill.gg/,N,pureskillgg,9,Y
